title,genres,release_date,runtime,budget,revenue,director,popularity,vote_average,vote_count,overview
Blair Witch,"['Thriller', 'Horror']",2016-09-15,89,5000000,45172994,Eduardo Sánchez,20.157,5.2,1894,Students on a camping trip discover something sinister is lurking beyond the trees.
Hellraiser,"['Horror', 'Thriller', 'Fantasy']",1987-09-11,94,1000000,14575193,Clive Barker,20.151,6.9,2524,"Hedonist Frank Cotton finds a mysterious puzzle box that summons the Cenobites, who open the doors to a dominion where pain and pleasure are indivisible."
Racing Stripes,"['Comedy', 'Family']",2005-01-06,102,30000000,90754475,Mark Isham,20.149,5.9,604,"Shattered illusions are hard to repair -- especially for a good-hearted zebra named Stripes who's spent his life on a Kentucky farm amidst the sorely mistaken notion that he's a debonair thoroughbred. Once he faces the fact that his stark stripes mark him as different, he decides he'll race anyway. And with help from the young girl who raised him, he just might end up in the winner's circle."
Selena,"['Drama', 'Music', 'History']",1997-03-21,127,20000000,60000000,Gregory Nava,20.148,7.72,1211,"In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist, Chris Perez, who draws the ire of her father. Seeking mainstream stardom, Selena begins recording an English-language album which, tragically, she would never complete."
Rosalie,"['Drama', 'Romance']",2024-04-10,115,7000000,308326,Stéphanie Di Giusto,20.145,6.56,42,"France, 1870s. Rosalie is a young woman unlike any other. She hides a secret: she was born with a face and body covered in hair. She’s concealed her peculiarity all her life to stay safe, shaving to fit in. Until Abel, an indebted bar owner unaware of her secret, marries Rosalie for her dowry. Will Abel be able to love Rosalie and see her as the woman she is, once he finds out the truth?"
The Rebound,"['Romance', 'Comedy']",2009-09-16,95,0,21791288,Jonathan Freeman,20.143,6.5,886,"Upon discovering her husband's infidelity, Sandy leaves the suburbs and moves into the city. There, she befriends Aram, a guy whose wife only married him so she could get a green card. Sandy hires Aram to be her nanny, and  it isn't long until Aram and Sandy find out they get along wonderfully and start to date. But is their relationship real or is it, in fact, just a rebound for both of them?"
The Wild,"['Family', 'Animation']",2006-04-06,95,80000000,102338515,Steve Williams,20.143,5.535,1038,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back."
The Sum of All Fears,"['Thriller', 'Action', 'Drama']",2002-05-31,124,68000000,193921372,Phil Alden Robinson,20.14,6.347,1701,"When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians."
Song of the Sea,"['Family', 'Animation', 'Fantasy']",2014-06-23,93,0,857522,Will Collins,20.125,8.002,1413,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival."
Immoral Tales,"['Drama', 'Romance']",1974-08-28,125,0,0,Walerian Borowczyk,20.123,5.838,240,"Four erotic tales from in various historical eras. The first, 'The Tide', is set in the present day, and concerns a student and his young female cousin stranded on the beach by the tide, secluded from prying eyes. 'Therese Philosophe' is set in the nineteenth century, and concerns a girl being locked in her bedroom, where she contemplates the erotic potential of the objects contained within it. 'Erzsebet Bathory' is a portrait of the sixteenth-century countess who allegedly bathed in the blood of virgins, while 'Lucrezia Borgia' concerns an incestuous fifteenth-century orgy involving Lucrezia, her brother, and her father the Pope."
Closing the Ring,"['Drama', 'Romance']",2007-09-14,118,23000000,0,Peter Woodward,20.121,6.125,96,"During the 1940s, a group of young men go off to war, leaving behind Ethel Ann, who is in love with one of them, Teddy. In modern-day Belfast, a man named Jimmy endeavors to return a ring found in the wreckage of a crashed plane. He travels to Michigan, where the grown Ethel Ann, who married another man after Teddy was killed in battle, now lives. Ethel Ann must decide whether to go with Jimmy to meet the soldier who last saw Teddy alive."
Trick 'r Treat 2,['Horror'],,0,0,0,Simeon Wilkins,20.12,0.0,0,Sequel to the 2007 film Trick ‘r Treat
Light Light Light,"['Drama', 'Romance']",2023-10-13,87,0,0,Heini Erving,20.119,7.0,5,"Mariia visits her childhood home and reminisces about the summer of 1986, when a girl named Mimi arrived in the small village and filled the life of the then 15-year-old Mariia with light."
The Dukes of Hazzard,"['Comedy', 'Adventure', 'Action']",2005-08-05,104,50000000,110803676,Jay Chandrasekhar,20.116,5.55,1153,"Cousins, Bo and Luke Duke, with the help of their eye-catching cousin, Daisy and moonshine-running Uncle Jesse, try and save the family farm from being destroyed by Hazzard County's corrupt commissioner, Boss Hogg. Their efforts constantly find the 'Duke Boys' eluding authorities in 'The General Lee', their 1969 orange Dodge Charger that keeps them one step ahead of the dimwitted antics of the small southern town's Sheriff, Roscoe P. Coltrane."
Zodiac,"['Science Fiction', 'TV Movie']",2014-08-16,89,0,0,W.D. Hogan,20.11,3.9,89,"Global disasters begin to occur after archaeologists unearth a 2,000-year-old astrology artifact. A rogue scientist is the key to deciphering the artifact to avert the end of the world."
One Piece: Clockwork Island Adventure,"['Action', 'Animation', 'Adventure']",2001-03-03,60,0,0,Takumi Wakao,20.11,6.955,265,"Relaxing on a cozy beach, the Straw Hat Pirates are taking a rest from their quest. Right until Luffy noticed the Going Merry has been hijacked and sailed off from the beach. This leads them to search the ship and find the thief who took it from them. They ran into a duo named the Theif Brothers, who informed them that their ship was stolen by a group of pirates called the Trump Kyoudai. When they encountered the Trump Pirates, Nami ended up getting kidnapped as well as Luffy's hat. They tracked down the pirates to their base on Clockwork Island. Now Luffy, Zoro, Sanji, Usopp, and the Theif Brothers must reclaim the Going Merry, Save Nami, and get back Shank's straw hat."
8MM,"['Thriller', 'Crime', 'Mystery']",1999-02-26,123,40000000,96618699,Joel Schumacher,20.108,6.46,1981,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI."
In the Morning of La Petite Mort,[],2023-10-13,98,0,0,Yu-Lin Wang,20.104,0.0,0,"A provocative erotic drama about a Japanese food delivery man, a Taiwanese prostitute and a Filipino cleaner who are swept up by their insatiable appetites for sex."
Milano,[],2024-11-06,119,0,0,Christina Vandekerckhove,20.097,0.0,0,"Alain is raising his son Milano on his own. Determined to make their future better, he tries to make ends meet."
Green Border,['Drama'],2023-09-22,152,0,4175869,Pavel Hrdlička,20.095,7.5,81,"In the treacherous and swampy forests that make up the so called “green border” between Belarus and Poland, refugees from the Middle East and Africa trying to reach the European Union are trapped in a geopolitical crisis cynically engineered by Belarusian dictator Alexander Lukashenko. In an attempt to provoke Europe, refugees are lured to the border by propaganda promising easy passage to the EU. Pawns in this hidden war, the lives of Julia, a newly minted activist who has given up her comfortable life, Jan, a young border guard, and a Syrian family intertwine."
The Many Adventures of Winnie the Pooh,"['Animation', 'Family', 'Adventure']",1977-03-11,74,0,0,Larry Clemmons,20.094,7.26,1025,"Whether we’re young or forever young at heart, the Hundred Acre Wood calls to that place in each of us that still believes in magic. Join pals Pooh, Piglet, Kanga, Roo, Owl, Rabbit, Tigger and Christopher Robin as they enjoy their days together and sing their way through adventures."
Death Whisperer 2,"['Horror', 'Thriller', 'Action']",2024-10-10,110,0,20730000,Taweewat Wantha,20.089,8.5,4,"In a world shrouded by darkness, a relentless force seeks retribution, undeterred by boundaries or morality."
Ghost Town,"['Drama', 'Comedy', 'Fantasy']",2008-09-19,102,20000000,27100000,John Kamps,20.088,6.542,948,"Bertram Pincus, a cranky, people-hating Manhattan dentist, develops the unwelcome ability to see dead people. Really annoying dead people. Even worse, they all want something from him, particularly Frank Herlihy, a smooth-talking ghost, who pesters him into a romantic scheme involving his widow Gwen. They are soon entangled in a hilarious predicament between the now and the hereafter!"
Christmas Bedtime Stories,"['TV Movie', 'Comedy', 'Drama', 'Romance']",2022-11-19,84,0,0,Brett Armstrong,20.084,6.8,13,"When Danielle’s husband goes missing in action during his deployment, she is left to raise her daughter on her own. Three years later, as she acclimates to life without him, she begins to tell her daughter bedtime stories of her father."
Cat and Dog,"['Adventure', 'Comedy']",2024-02-14,86,0,0,Denis Hamel,20.084,6.293,82,"While about to take off, Monica, the owner of a famous influencer cat named Diva, and Jack, an international thief whose dog Chichi swallowed a stolen ruby, dis- cover that their pets have gotten lost on the tarmac. The owners – and their pets – must team up to find their loved ones. But they don’t know that Brandt, a cop hot on their heels, will do anything to get his hands on the ruby!"
Sister Act 2: Back in the Habit,"['Music', 'Comedy']",1993-12-09,107,38000000,57319029,Judi Ann Mason,20.079,6.372,1784,"Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the school is due to be closed by the unscrupulous chief of a local authority."
BlacKkKlansman,"['Crime', 'Comedy', 'Drama']",2018-08-09,136,15000000,93411426,David Rabinowitz,20.071,7.51,7473,"Colorado Springs, late 1970s. Ron Stallworth, an African American police officer, and Flip Zimmerman, his Jewish colleague, run an undercover operation to infiltrate the Ku Klux Klan."
Gandhi,"['Drama', 'History']",1982-12-01,191,22000000,77737889,Richard Attenborough,20.07,7.6,2268,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed."
Sword of the Stranger,"['Action', 'Animation', 'History']",2007-09-29,103,0,0,Masahiro Ando,20.069,7.604,402,"Pursued by formidable Chinese assassins, young Kotaro and his dog run into No Name, a mysterious stranger who gets pulled into the chase. The unlikely companions form a bond over saving the dog from a poison attack, but chaos erupts when the assassins find Kotaro, and No Name must face his past before a horrible fate is met again."
Carrie,"['Horror', 'Drama', 'TV Movie']",2002-11-04,132,5000000,0,Laura Karpman,20.064,6.049,481,"An awkward, telekinetic teenage girl's lonely life is dominated by relentless bullying at school and an oppressive religious fanatic mother at home. When her tormentors pull a humiliating prank at the senior prom, she unleashes a horrifying chaos on everyone, leaving nothing but destruction in her wake."
High Noon,"['Western', 'Thriller']",1952-06-09,85,730000,8000000,Fred Zinnemann,20.064,7.671,1408,"Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople."
Flight of the Phoenix,"['Action', 'Adventure', 'Drama']",2004-12-17,113,45000000,21009180,Terra Bliss,20.063,6.0,849,"When an oil rig in the Gobi Desert of Mongolia proves unproductive, an aircraft crew are sent to shut the operation down and fly them out. On the flight out over the desert on the way to Beijing, Capt. Frank Towns and co-pilot A.J. are unable to keep their cargo plane, a C-119 Flying Boxcar, in the air when a violent sandstorm strikes. Crash-landing in a remote uncharted part of the desert, the two pilots and their passengers -- a crew of oil workers and a drifter -- must work together to survive by rebuilding the aircraft. Soon, low supplies and a band of merciless smugglers add even greater urgency to their task."
Last Tango in Paris,"['Drama', 'Romance']",1972-12-15,129,1250000,36182181,Bernardo Bertolucci,20.063,6.9,1198,A recently widowed American begins an anonymous sexual relationship with a young Parisian woman.
Sound of Metal,"['Drama', 'Music']",2020-11-20,120,0,516520,Carlos Cortés Navarrete,20.061,7.721,2500,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew."
Ahasss,"['Thriller', 'Drama']",2023-10-13,107,0,0,Ato Bautista,20.059,4.8,6,"Jake, a young houseboy, falls for his boss' battered wife. As he helps her escape from her abusive husband, things get wild, messy, and bloody."
The Last Boy on Earth,"['Science Fiction', 'Horror', 'Adventure']",2024-08-01,97,0,0,Nicolás Onetti,20.058,6.0,25,"In a distant future, a mysterious boy becomes the central figure in the search for a new hope. Who is this kid? Why is everyone looking for it? Sometimes it is better not to know certain answers…"
Sexy Night Report n. 2,['Drama'],1978-04-20,94,0,0,Luigi Conversi,20.057,6.7,19,A sexy stewardess returns from a flight and is greeted by an anxious reporter who wants to hear all about her erotic adventures.
The Pyramid,['Horror'],2014-12-04,89,6500000,16861137,Grégory Levasseur,20.052,5.3,1046,An archaeological team attempt to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.
Dog Soldiers,"['Horror', 'Action', 'Thriller']",2002-05-10,105,2000000,3537283,David E. Allen,20.05,6.7,855,"A band of soldiers is dispatched to war games deep in the woods. When they stumble across a rival team slaughtered in camp, they realize they're not alone."
