title,genres,release_date,runtime,budget,revenue,director,popularity,vote_average,vote_count,overview
The Ice Pirates,"['Science Fiction', 'Action', 'Adventure', 'Comedy']",1984-03-16,91,9000000,14250000,Paul Bengston,48.75,5.6,176,"In the not too distant future, where by far the most precious commodity in the galaxy is water. The last surviving water planet was somehow removed to the unreachable centre of the galaxy at the end of the galactic trade wars. The galaxy is ruled by an evil emperor presiding over a trade oligarchy that controls all mining and sale of ice from asteroids and comets."
28 Days Later,"['Horror', 'Thriller', 'Science Fiction']",2002-10-31,113,8000000,85700000,John Murphy,48.742,7.2,6656,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
The Adam Project,"['Adventure', 'Science Fiction']",2022-03-11,106,116000000,0,Jonathan Tropper,48.734,7.0,4292,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future."
Jeepers Creepers 2,"['Horror', 'Thriller']",2003-08-08,104,17000000,63102666,Bennett Salvay,48.725,6.1,1626,"When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive."
What About Bob?,['Comedy'],1991-05-17,100,35000000,63710000,Frank Oz,48.698,6.9,805,"Before going on vacation, self-involved psychiatrist Dr. Leo Marvin has the misfortune of taking on a new patient: Bob Wiley. An exemplar of neediness and a compendium of phobias, Bob follows Marvin to his family's country house. Dr. Marvin tries to get him to leave; the trouble is, everyone loves Bob. As his oblivious patient makes himself at home, Dr. Marvin loses his professional composure and, before long, may be ready for the loony bin himself."
Terminator 3: Rise of the Machines,"['Action', 'Thriller', 'Science Fiction']",2003-07-02,109,200000000,435000000,Hal Lieberman,48.698,6.164,6586,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised."
The Voyagers,"['Fantasy', 'Adventure', 'TV Movie']",2022-11-21,108,0,0,Ludovico Di Martino,48.666,6.16,97,Time jump to 1939 with teenager Max and his friends as they try to navigate Mussolini's Rome and find Max's missing brother.
Someday We'll Tell Each Other Everything,['Drama'],2023-04-13,129,0,0,Emily Atef,48.656,6.1,30,"Set in a warm summer in 1990 in former East Germany, it follows a young woman who begins a relationship with a charismatic farmer who is twice her age."
V for Vendetta,"['Action', 'Thriller', 'Science Fiction']",2006-02-23,132,54000000,132511035,James McTeigue,48.646,7.898,14382,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain."
He Was a Quiet Man,"['Comedy', 'Drama', 'Romance']",2007-11-23,95,0,0,Brandon Trost,48.638,6.399,318,An unhinged office worker who planned to go on a shooting spree at his workplace struggles with his newfound status as a hero after he ends up stopping a shooting spree instead.
The Texas Chain Saw Massacre,['Horror'],1974-10-11,83,140000,30900000,Kim Henkel,48.634,7.289,3295,A group of five young friends face a nightmare of torment at the hands of a depraved Texas clan.
The Cat in the Hat,"['Comedy', 'Adventure', 'Family', 'Fantasy']",2003-11-21,81,109000000,133800000,Emmanuel Lubezki,48.628,5.3,1636,"During a rainy day, and while their mother is out, Conrad and Sally, and their pet fish, are visited by the mischievous Cat in the Hat. Fun soon turns to mayhem, and the siblings must figure out how to rid themselves of the maniacal Cat."
Rush Hour 2,"['Action', 'Comedy', 'Crime']",2001-08-03,90,90000000,347325802,Brett Ratner,48.616,6.742,4057,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella."
Rape Zombie: Lust of the Dead 3,"['Horror', 'Comedy']",2013-06-23,68,0,0,Yûko Momochi,48.608,6.371,85,The zombies that arose after the nuclear outbreak are still high in numbers. The group of girls have lost some of their comrades and are fighting off the horny zombies to stay alive themselves. Can they stop the plague for once and for all?
The SpongeBob Movie: Sponge on the Run,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy']",2020-08-14,95,60000000,4700000,Steve Mazzaro,48.597,7.5,2835,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal."
Call Me Chihiro,['Drama'],2023-02-23,131,0,0,Kaori Sawai,48.534,7.0,105,"An unapologetic former sex worker starts working at a bento stand in a small seaside town, bringing comfort to the lonely souls who come her way."
I Feel Pretty,"['Comedy', 'Romance']",2018-04-19,110,32000000,94539426,Markus Krunegård,48.522,6.391,2026,A head injury causes a woman to develop an extraordinary amount of confidence and believe she's drop dead gorgeous.
Predator 2,"['Science Fiction', 'Action', 'Thriller']",1990-11-21,108,35000000,57120318,Alan Silvestri,48.469,6.284,3274,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.
Blood and Snow,"['Science Fiction', 'Horror']",2023-10-06,114,0,0,Simon Phillips,48.459,6.3,52,"Scientists find meteor in Arctic. It kills one, infects the other. Nearby base takes in survivor to investigate incident. Survivor's identity raises questions."
The Karate Kid,"['Action', 'Drama', 'Family']",1984-06-22,126,8000000,130442786,Bill Conti,48.441,7.2,4127,"Daniel moves to Los Angeles with his mother, Lucille, and soon strikes up a relationship with Ali. He quickly finds himself the target of bullying by a group of high school students, led by Ali's ex-boyfriend Johnny, who study karate at the Cobra Kai dojo under ruthless sensei, John Kreese. Fortunately, Daniel befriends Mr. Miyagi, an unassuming repairman who just happens to be a martial arts master himself. Miyagi takes Daniel under his wing, training him in a more compassionate form of karate for self-defense and later, preparing him to compete against the brutal Cobra Kai."
The Last Witch Hunter,"['Fantasy', 'Action', 'Adventure', 'Horror']",2015-10-21,106,90000000,146936910,Janene Carleton,48.362,6.0,3565,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family."
Purple Hearts,"['Romance', 'Drama']",2022-07-29,122,0,0,Elizabeth Allen Rosenbaum,48.361,8.116,2512,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real."
Collision Course,"['Action', 'Comedy', 'Crime']",1989-04-27,100,13000000,0,Frank Darius Namei,48.343,4.1,31,A Japanese investigator and a Detroit cop team up to track down a stolen prototype turbocharger.
Wrath of the Titans,"['Fantasy', 'Adventure', 'Action']",2012-03-28,99,150000000,301970083,Jonathan Liebesman,48.306,5.746,4156,"Perseus tries to live a quieter life as a village fisherman while – dangerously weakened by humanity's lack of devotion – the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos."
Undisputed II: Last Man Standing,"['Action', 'Crime', 'Thriller']",2006-04-11,93,8000000,1361,Boaz Davidson,48.291,7.339,788,"Heavyweight Champ George ""Iceman"" Chambers is sent to a Russian jail on trumped-up drug charges. In order to win his freedom he must fight against the jailhouse fighting champ Uri Boyka in a battle to the death. This time he is not fighting for a title, he is fighting for his life!"
Long Live the Seal,['Comedy'],1982-03-28,92,0,0,Nando Cicero,48.271,6.7,35,"Andrea, a nice girl, move from Veneto (north of Italy) to Roma. She is employed as a nurse in a medical practice. She soon is involved in a never-ending game of misunderstanding, couples exchange, sexual seductions."
The Longest Ride,"['Drama', 'Romance']",2015-04-09,128,34000000,63013281,Scott Hardwick,48.237,7.625,3115,The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he's trapped in an automobile crash.
Green Book,"['Drama', 'History']",2018-11-16,130,23000000,319700000,Shane Hayes,48.182,8.24,11521,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book."
The Secret of NIMH,"['Family', 'Animation', 'Fantasy', 'Adventure']",1982-06-17,83,7000000,14665733,Don Bluth,48.177,7.4,813,"A widowed field mouse must move her family -- including an ailing son -- to escape a farmer's plow. Aided by a crow and a pack of superintelligent, escaped lab rats, the brave mother struggles to transplant her home to firmer ground."
Babes,['Comedy'],2024-05-17,104,3700000,3663309,Ilana Glazer,48.166,6.0,39,"After getting pregnant from a one-night stand, a single woman leans on her married best friend and mother of two to guide her through gestation and beyond."
Who Framed Roger Rabbit,"['Fantasy', 'Animation', 'Comedy', 'Crime']",1988-06-21,104,70000000,329800000,Robert Zemeckis,48.159,7.526,5630,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect."
Cloudy with a Chance of Meatballs,"['Animation', 'Comedy', 'Family']",2009-09-17,90,100000000,242988466,Phil Lord,48.155,6.6,5906,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?"
Blade,"['Horror', 'Action']",1998-08-21,121,45000000,131183530,Steven Ho,48.086,6.8,5972,"The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires."
Dead Sea,"['Thriller', 'Horror']",2024-07-26,88,0,0,Scott P. Barlow,48.053,6.5,144,"Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret."
Past Lives,"['Drama', 'Romance']",2023-06-02,106,12000000,28126646,Jake Pinckes,48.018,7.8,1616,"Nora and Hae Sung, two childhood friends, are reunited in New York for one fateful week as they confront notions of destiny, love, and the choices that make a life."
Halloween 4: The Return of Michael Myers,"['Horror', 'Thriller']",1988-10-21,88,5000000,17768757,Curtiss Clayton,47.977,6.2,1881,Michael returns to Haddonfield for Jamie Lloyd – the orphaned daughter of Laurie Strode – and her babysitter Rachel. Can Dr. Loomis stop him before the unholy slaughter reaches his innocent young niece?
Alvin and the Chipmunks: Chipwrecked,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",2011-12-14,87,75000000,342695435,Mira Caveno,47.945,5.7,2167,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems."
M3GAN,"['Science Fiction', 'Horror']",2022-12-28,102,12000000,180089109,James Wan,47.914,7.073,4000,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results."
9,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']",2009-08-19,79,30000000,48428063,Pamela Pettler,47.908,6.9,3507,"When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good."
A Christmas Carol,"['Animation', 'Family', 'Fantasy']",2009-11-04,94,200000000,325300000,Robert Zemeckis,47.905,6.88,4511,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption."
God's Not Dead: In God We Trust,['Drama'],2024-09-12,96,0,3106540,Vance Null,47.871,3.5,8,"In a time of profound political, civil, and spiritual turmoil, Reverend David Hill grapples with the crucial question: Does God still have a place in politics? Compelled to enter a congressional race after the sudden death of a favored incumbent, David faces off against state senator Peter Kane, a formidable opponent determined to push religion out of the public square and cause greater divide."
Halloween: The Curse of Michael Myers,"['Horror', 'Thriller']",1995-09-29,88,5000000,15116634,Randy Bricker,47.855,5.2,1097,"Six years after being kidnapped by a cult, Jamie tries to escape the clutches of her serial killer uncle, Michael Myers."
Naruto Shippuden the Movie,"['Animation', 'Action', 'Fantasy']",2007-08-04,94,0,10000000,Hajime Kamegaki,47.823,7.415,964,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death."""
Life Is Beautiful,"['Comedy', 'Drama']",1997-12-20,116,20000000,230098753,Roberto Benigni,47.82,8.448,12991,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.
Braveheart,"['Action', 'Drama', 'History', 'War']",1995-05-24,177,72000000,213200000,John Toll,47.795,7.941,10064,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
Arrival,"['Drama', 'Science Fiction', 'Mystery']",2016-11-10,116,47000000,203388186,Nicolas Lepage,47.765,7.6,17648,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat."
Cocoon,"['Drama', 'Comedy', 'Science Fiction']",1985-06-21,117,17500000,85300000,Donald Peterman,47.726,6.6,1262,"When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor."
Dragon Ball Z: Broly - Second Coming,"['Animation', 'Action', 'Science Fiction']",1994-03-12,48,0,24200000,Shigeyasu Yamauchi,47.715,6.7,656,"A Saiyan Space pod crash-lands on Earth out of which a wounded Saiyan crawls: Broly, the Legendary Super Saiyan. The wounded Broly shouts out in frustration and turns into normal form. The place soon freezes, trapping him in it and he falls into a coma."
Black Swan,"['Drama', 'Thriller', 'Horror']",2010-12-03,109,13000000,329398046,Darren Aronofsky,47.713,7.7,14372,"The story of Nina, a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her retired ballerina mother Erica who zealously supports her daughter's professional ambition. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice."
Now You See Me 2,"['Crime', 'Thriller', 'Action', 'Mystery']",2016-06-02,129,120000000,334900000,Sian Milne,47.705,6.8,10646,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet."
The One,"['Action', 'Science Fiction', 'Thriller']",2001-11-02,87,49000000,72689126,James Wong,47.672,6.1,1555,A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.
The Ritual,"['Horror', 'Thriller', 'Mystery']",2017-10-11,94,1000000,1786396,Zoe Cooper,47.66,6.249,2964,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them."
Apocalypse Now,"['Drama', 'War']",1979-08-15,147,31500000,150000000,Gerald B. Greenberg,47.653,8.278,8180,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
The Curious Case of Benjamin Button,"['Drama', 'Fantasy', 'Romance']",2008-12-25,166,150000000,335800000,F. Scott Fitzgerald,47.635,7.589,12687,"Born under unusual circumstances, Benjamin Button springs into being as an elderly man in a New Orleans nursing home and ages in reverse. Twelve years after his birth, he meets Daisy, a child who flits in and out of his life as she grows up to be a dancer. Though he has all sorts of unusual adventures over the course of his life, it is his relationship with Daisy, and the hope that they will come together at the right time, that drives Benjamin forward."
Float,"['Romance', 'Drama']",2024-02-09,100,0,0,Kate Marchant,47.617,6.9,119,"Waverly thought she had her future figured out, she’d start her medical residency in Toronto after a summer visit to her parents in Taipei. When her plans suddenly change, she makes an impulsive detour to a small Canadian town where she meets local lifeguard Blake. After he saves her from nearly drowning at a beach party, Blake offers to teach Waverly to swim, and as the lessons continue, the two unexpectedly find themselves falling in love."
Tomorrow Is Today,['Comedy'],2022-11-29,108,0,0,Nacho G. Velilla,47.521,6.2,79,A family is on holiday in 1991 when their teenage daughter decides to elope with her boyfriend. Their parents travel forward in time to 2022 and see how much Spain has changed in three decades.
Legally Blonde,"['Comedy', 'Romance']",2001-07-13,96,18000000,141774679,Ric Kidney,47.514,6.8,3963,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school, but while there, she figures out that there is more to herself than just looks."
Bound by Honor,"['Crime', 'Action', 'Drama', 'Thriller']",1993-02-05,180,35000000,4500000,Taylor Hackford,47.51,8.139,1318,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo."
The Hills Have Eyes 2,"['Horror', 'Thriller']",2007-03-22,90,15000000,37697773,Martin Weisz,47.493,5.548,1424,A group of National Guard trainees on a routine mission find themselves up against cannibalistic mutants in the New Mexico desert.
Lethal Weapon,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",1987-03-06,110,15000000,120200000,Richard Donner,47.471,7.29,4494,"Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring."
Crew,"['Comedy', 'Drama']",2024-03-29,124,0,0,Rhea Kapoor,47.452,7.0,46,Three ordinary air hostesses from Mumbai embark on a journey to pursue their dreams but find themselves caught up in unexpected misfortunes.
The Blind,['Drama'],2023-09-28,110,30000000,17265487,Jeremy John Wells,47.438,6.854,24,"Long before Duck Dynasty's Phil Robertson became a reality TV star, he fell in love with Miss Kay and started a family, but his demons threatened to tear their lives apart. Set in the backwoods swamps of 1960s Louisiana, 'The Blind' shares never-before-revealed moments in Phil's life as he seeks to conquer the shame of his past, ultimately finding redemption in an unlikely place. This stunning cinematic journey chronicles the love story that launched a dynasty, the turmoil that nearly brought it crashing down, and the hope that rose from the ashes to create a foundation for generations to come."
Tomorrowland,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",2015-05-19,130,190000000,209200000,Damon Lindelof,47.426,6.278,6927,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland."""
CODA,"['Drama', 'Music', 'Romance']",2021-08-13,112,10000000,1905058,Chantal Birdsong,47.409,7.933,2204,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents."
Kiki's Delivery Service,"['Animation', 'Family', 'Fantasy']",1989-07-29,103,6900000,4493017,Eiko Kadono,47.398,7.8,4019,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
The Jungle Book,"['Family', 'Adventure', 'Drama', 'Fantasy']",2016-04-07,106,175000000,966550600,Sally Potters,47.379,6.9,7996,"A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo."
Cheat,"['Thriller', 'Horror']",2023-08-24,85,0,0,Kevin Ignatius,47.331,7.2,48,"On the surface it's believed to be another urban legend - a supernatural being from the afterlife is violently killing anyone who cheats on their significant other in the small college town of Silvercreek, Pennsylvania. But the town's unusually high suicide rate is finally convincing both locals and college students that everything is not as it seems. When Maeve - a female college student - sleeps with Charlie, the married man of the host family she is staying with, both sense the deadly curse is closing in on them. Unable to get anyone to believe them, Maeve and Charlie seek out a local history student to help find answers and figure out a way to defend themselves. It all comes undone, however, as several people are horrifically killed by the savage being - one-by-one at a rapid pace. Eventually, Maeve, Charlie and the few survivors band together in an attempt to defeat the monster once and for all."
Final Destination,['Horror'],2000-03-17,98,23000000,112900000,James Wong,47.327,6.6,5573,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one."
Underworld,"['Fantasy', 'Action', 'Thriller']",2003-09-19,122,22000000,95708457,Len Wiseman,47.324,6.828,6064,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war."
Dawn of the Dead,"['Action', 'Horror', 'Drama', 'Science Fiction']",2004-03-19,101,26000000,102278712,Zack Snyder,47.241,7.055,3971,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies."
Batman,"['Fantasy', 'Action', 'Crime']",1989-06-21,126,35000000,411348924,Peter Guber,47.23,7.2,7794,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld."
0000 Kilometre,"['Romance', 'Drama']",2024-10-31,110,0,0,Beyza Alkoç,47.198,5.0,1,A phone call to Izmir while she and Ege are living together in France turns their lives upside down. The caller claims to be Izmir's recently deceased mother.
Bugsy,"['Crime', 'Drama', 'Mystery']",1991-12-10,134,30000000,49114016,Barry Levinson,47.162,6.4,374,"New York gangster Ben 'Bugsy' Siegel takes a brief business trip to Los Angeles. A sharp-dressing womanizer with a foul temper, Siegel doesn't hesitate to kill or maim anyone crossing him. In L.A. the life, the movies, and most of all strong-willed Virginia Hill detain him while his family wait back home. Then a trip to a run-down gambling joint at a spot in the desert known as Las Vegas gives him his big idea."
Halloween III: Season of the Witch,"['Horror', 'Science Fiction']",1982-10-22,99,2500000,14400000,Tommy Lee Wallace,47.082,5.216,1361,"A terrified toy salesman is mysteriously attacked, and at the hospital, babbles and clutches the year's most popular Halloween costume, an eerie pumpkin mask. Suddenly, Doctor Daniel Challis finds himself thrust into a terrifying nightmare."
Nope,"['Horror', 'Mystery', 'Science Fiction']",2022-07-20,130,68000000,170823080,Robert Graf,47.04,6.8,4062,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery."
Double Jeopardy,"['Drama', 'Thriller', 'Mystery']",1999-09-24,105,70000000,177841558,Leonard Goldberg,47.019,6.6,1305,"Framed for the murder of her husband, Libby Parsons survives the long years in prison with two burning desires sustaining her -- finding her son and solving the mystery that destroyed her once-happy life. Standing between her and her quest; however, is her parole officer, Travis Lehman. Libby poses a challenge to the cynical officer, one that forces him to face up to his own failings while pitting him against his superiors and law enforcement colleagues."
La Familia del Barrio: La Película,"['Comedy', 'Animation', 'History', 'Science Fiction']",2024-06-28,78,0,0,Rhajov Villafuerte,47.004,7.986,35,El Noruego travels back in time and accidentally prevents the War of Independence by getting Miguel Hidalgo drunk before giving the cry.
The Irishman,"['Crime', 'Drama', 'History']",2019-11-01,209,159000000,968853,Aaron Vexler,47.002,7.606,6756,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years."
Hellboy II: The Golden Army,"['Fantasy', 'Adventure', 'Action']",2008-07-11,120,85000000,160388063,Kathy Nelson,46.996,6.8,5143,"Hellboy, his pyrokinetic girlfriend, Liz, and aquatic empath, Abe Sapien, face their biggest battle when an underworld elven prince plans to reclaim Earth for his magical kindred. Tired of living in the shadow of humans, Prince Nuada tries to awaken an ancient force of killing machines, the all-powerful Golden Army, to clear the way for fantasy creatures to roam free. Only Hellboy can stop the dark prince and prevent humanity's annihilation."
Battleship,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",2012-04-11,131,209000000,303025485,Peter Berg,46.993,5.854,5463,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancée's father—an Admiral—expect of him."
A Tale of Winter,"['Drama', 'Romance']",1992-01-29,114,0,213687,Éric Rohmer,46.966,7.1,148,"Felicie and Charles have a whirlwind holiday romance. Due to a mix-up on addresses they lose contact, and five years later at Christmas-time Felicie is living with her mother in a cold Paris with a daughter as a reminder of that long-ago summer. For male companionship she oscillates between hairdresser Maxence and the intellectual Loic, but seems unable to commit to either as the memory of Charles and what might have been hangs over everything."
Jack Reacher,"['Crime', 'Drama', 'Thriller', 'Action']",2012-12-20,130,60000000,218300000,Tom Cruise,46.921,6.633,6948,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep."
Little Eggs: A Frozen Rescue,"['Animation', 'Adventure', 'Comedy', 'Family']",2022-12-14,91,0,0,Gabriel Riva Palacio Alatriste,46.903,7.7,342,"In the final Huevos adventure, Toto and his family will have to travel to the South Pole to fulfill their promise to return a polar bear and some Spanish penguins to their home. In order to do so, they will have to overcome some obstacles that will teach them how important teamwork is."
The Curse of La Llorona,['Horror'],2019-04-17,93,9000000,122033739,Richard Brener,46.849,5.676,2413,"In 1970s Los Angeles, ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own young kids are soon drawn into a frightening supernatural realm."
Colombiana,"['Action', 'Thriller', 'Crime', 'Drama']",2011-07-27,108,40000000,71508440,Dana Boisseau,46.832,6.628,2557,"After witnessing her parents’ murder as a child in Bogota, Cataleya Restrepo grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death."
Home Alone 3,"['Comedy', 'Family']",1997-12-12,102,32000000,79082515,John Hughes,46.82,5.3,2988,"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back."
Jungle Cruise,"['Fantasy', 'Adventure']",2021-07-28,127,200000000,220889446,Nicole Vela-Bailey,46.817,7.366,5644,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine."
